url_path,views_total,views_unique
/peff74/ACS712_ESP8266,18,14
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,16,8
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,13,8
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,11,4
/peff74/ACS712_ESP8266/blob/main/README.md,3,3
/peff74/ACS712_ESP8266/tree/main,3,3
/peff74/ACS712_ESP8266/blob/main/.gitattributes,2,2
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,2,2
/peff74/ACS712_ESP8266/tree/main/.github,2,2
/peff74/ACS712_ESP8266/edit/main/README.md,1,1
