url_path,views_total,views_unique
/peff74/ACS712_ESP8266,37,29
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,29,17
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,10,9
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,9,6
/peff74/ACS712_ESP8266/tree/main/.github/workflows,4,4
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,3,3
/peff74/ACS712_ESP8266/blob/main/README.md,3,3
/peff74/ACS712_ESP8266/blame/main/8266_ACS712.ino,3,1
/peff74/ACS712_ESP8266/tree/main,2,2
/peff74/ACS712_ESP8266/tree/main/.github,2,2
