url_path,views_total,views_unique
/peff74/ACS712_ESP8266,23,15
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,12,7
/peff74/ACS712_ESP8266/tree/main,11,2
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,5,5
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,4,3
/peff74/ACS712_ESP8266/blob/main/README.md,3,2
/peff74/ACS712_ESP8266/blob/main/.gitattributes,2,2
/peff74/ACS712_ESP8266/tree/main/.github/workflows,2,2
/peff74/ACS712_ESP8266/blame/main/8266_ACS712.ino,1,1
/peff74/ACS712_ESP8266/tree/main/.github,1,1
