time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,13,7,0,0
2026-01-28 00:00:00+00:00,11,5,14,4
2026-01-29 00:00:00+00:00,5,3,2,2
2026-01-30 00:00:00+00:00,18,8,1,1
2026-01-31 00:00:00+00:00,4,2,1,1
2026-02-01 00:00:00+00:00,17,8,18,6
2026-02-02 00:00:00+00:00,5,3,5,3
2026-02-03 00:00:00+00:00,11,5,8,2
2026-02-04 00:00:00+00:00,5,3,4,3
2026-02-05 00:00:00+00:00,8,6,3,2
2026-02-06 00:00:00+00:00,5,3,16,4
2026-02-07 00:00:00+00:00,12,6,5,3
2026-02-08 00:00:00+00:00,18,8,0,0
2026-02-09 00:00:00+00:00,12,6,2,2
