url_path,views_total,views_unique
/peff74/ACS712_ESP8266,20,15
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,17,10
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,3,2
/peff74/ACS712_ESP8266/blob/main/README.md,2,2
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,1,1
/peff74/ACS712_ESP8266/commit/3ecc5760ebed104da9b045398d217be4e216b30d,1,1
/peff74/ACS712_ESP8266/tree/main/.github,1,1
