url_path,views_total,views_unique
/peff74/ACS712_ESP8266,77,49
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,26,16
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,13,9
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,2,2
/peff74/ACS712_ESP8266/tree/main,2,2
/peff74/ACS712_ESP8266/actions,1,1
/peff74/ACS712_ESP8266/issues,1,1
/peff74/ACS712_ESP8266/pulls,1,1
