url_path,views_total,views_unique
/peff74/ACS712_ESP8266,47,38
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.ino,19,12
/peff74/ACS712_ESP8266/blob/main/8266_ACS712.jpg,11,11
/peff74/ACS712_ESP8266/blob/main/ACS712-modul-5A-20A-30A.webp,6,4
/peff74/ACS712_ESP8266/blob/main/README.md,2,2
/peff74/ACS712_ESP8266/blob/main/.gitattributes,1,1
/peff74/ACS712_ESP8266/blob/main/.github/workflows/github-repo-stats.yml,1,1
/peff74/ACS712_ESP8266/tree/main/.github/workflows,1,1
